"x, mkm","Potential energy, eV, VCh=0.21, VSG=-0.36","Potential energy, eV, VCh=0.24, VSG=-0.27"
-1.9,-0.08694,-0.12987
-1.8,-0.08694,-0.12987
-1.7,-0.08694,-0.12987
-1.6,-0.08693,-0.12986
-1.5,-0.08693,-0.12986
-1.4,-0.08693,-0.12986
-1.3,-0.08693,-0.12986
-1.2,-0.08692,-0.12986
-1.1,-0.08692,-0.12985
-1,-0.08692,-0.12985
-0.9,-0.08692,-0.12985
-0.8,-0.08692,-0.12985
-0.7,-0.08692,-0.12985
-0.6,-0.08692,-0.12985
-0.5,-0.08692,-0.12985
-0.4,-0.08691,-0.12985
-0.3,-0.08692,-0.12985
-0.2,-0.08692,-0.12985
-0.1,-0.08692,-0.12985
0,-0.08692,-0.12985
0.1,-0.08692,-0.12985
0.2,-0.08692,-0.12986
0.3,-0.08693,-0.12986
0.4,-0.08693,-0.12986
0.5,-0.08693,-0.12986
0.6,-0.08693,-0.12986
0.7,-0.08693,-0.12986
0.8,-0.08693,-0.12986
0.9,-0.08693,-0.12986
1,-0.08693,-0.12986
1.1,-0.08693,-0.12987
1.2,-0.08694,-0.12987
1.3,-0.08694,-0.12987
1.4,-0.08694,-0.12987
1.5,-0.08694,-0.12987
1.6,-0.08694,-0.12987
1.7,-0.08693,-0.12986
1.8,-0.08693,-0.12986
1.9,-0.08693,-0.12986
2,-0.08692,-0.12986
2.1,-0.08692,-0.12985
2.2,-0.08692,-0.12985
2.3,-0.08692,-0.12985
2.4,-0.08692,-0.12985
2.5,-0.08692,-0.12985
2.6,-0.08692,-0.12985
2.7,-0.08692,-0.12985
2.8,-0.08692,-0.12985
2.9,-0.08692,-0.12985
3,-0.08692,-0.12985
3.1,-0.08692,-0.12985
3.2,-0.08692,-0.12986
3.3,-0.08693,-0.12986
3.4,-0.08693,-0.12986
3.5,-0.08693,-0.12986
3.6,-0.08693,-0.12986
3.7,-0.08694,-0.12987
3.8,-0.08694,-0.12987
3.9,-0.08694,-0.12987
4,-0.08694,-0.12987
4.1,-0.08694,-0.12986
4.2,-0.08693,-0.12986
4.3,-0.08693,-0.12986
4.4,-0.08693,-0.12986
4.5,-0.08693,-0.12986
4.6,-0.08693,-0.12986
4.7,-0.08693,-0.12986
4.8,-0.08694,-0.12986
4.9,-0.08694,-0.12986
5,-0.08694,-0.12986
5.1,-0.08694,-0.12987
5.2,-0.08694,-0.12987
5.3,-0.08694,-0.12987
5.4,-0.08694,-0.12987
5.5,-0.08694,-0.12987
5.6,-0.08694,-0.12987
5.7,-0.08694,-0.12987
5.8,-0.08694,-0.12987
5.9,-0.08694,-0.12987
6,-0.08695,-0.12987
6.1,-0.08695,-0.12987
6.2,-0.08695,-0.12987
6.3,-0.08695,-0.12987
6.4,-0.08695,-0.12988
6.5,-0.08695,-0.12988
6.6,-0.08695,-0.12988
6.7,-0.08695,-0.12988
6.8,-0.08695,-0.12988
6.9,-0.08695,-0.12988
7,-0.08695,-0.12988
7.1,-0.08695,-0.12988
7.2,-0.08695,-0.12988
7.3,-0.08696,-0.12988
7.4,-0.08696,-0.12988
7.5,-0.08696,-0.12989
7.6,-0.08697,-0.12989
7.7,-0.08697,-0.12989
7.8,-0.08697,-0.12989
7.9,-0.08697,-0.1299
8,-0.08698,-0.1299
8.1,-0.08698,-0.1299
8.2,-0.08698,-0.1299
8.3,-0.08698,-0.1299
8.4,-0.08698,-0.1299
8.5,-0.08698,-0.1299
8.6,-0.08698,-0.1299
8.7,-0.08698,-0.1299
8.8,-0.08698,-0.1299
8.9,-0.08698,-0.1299
9,-0.08698,-0.1299
9.1,-0.08698,-0.1299
9.2,-0.08698,-0.1299
9.3,-0.08699,-0.1299
9.4,-0.08699,-0.12991
9.5,-0.08699,-0.12991
9.6,-0.08699,-0.12991
9.7,-0.08699,-0.1299
9.8,-0.08699,-0.1299
9.9,-0.08699,-0.1299
10,-0.08699,-0.1299
10.1,-0.08699,-0.1299
10.2,-0.08699,-0.12991
10.3,-0.08699,-0.12991
10.4,-0.08699,-0.12991
10.5,-0.087,-0.12991
10.6,-0.087,-0.12991
10.7,-0.087,-0.12992
10.8,-0.087,-0.12992
10.9,-0.087,-0.12992
11,-0.087,-0.12992
11.1,-0.087,-0.12992
11.2,-0.08701,-0.12992
11.3,-0.08701,-0.12992
11.4,-0.08701,-0.12992
11.5,-0.08701,-0.12992
11.6,-0.08701,-0.12992
11.7,-0.08701,-0.12992
11.8,-0.08701,-0.12993
11.9,-0.08702,-0.12993
12,-0.08702,-0.12994
12.1,-0.08703,-0.12994
12.2,-0.08704,-0.12994
12.3,-0.08704,-0.12995
12.4,-0.08705,-0.12995
12.5,-0.08705,-0.12996
12.6,-0.08706,-0.12996
12.7,-0.08706,-0.12997
12.8,-0.08707,-0.12997
12.9,-0.08707,-0.12998
13,-0.08707,-0.12998
13.1,-0.08708,-0.12998
13.2,-0.08708,-0.12998
13.3,-0.08708,-0.12998
13.4,-0.08708,-0.12998
13.5,-0.08708,-0.12998
13.6,-0.08708,-0.12998
13.7,-0.08708,-0.12998
13.8,-0.08708,-0.12998
13.9,-0.08708,-0.12998
14,-0.08708,-0.12998
14.1,-0.08708,-0.12998
14.2,-0.08708,-0.12998
