"Frequency, Hz","SA, V, 23mK","SA, V, 137mK","SA, V, 191mK","SA, V, 295mK","SA, V, 398mK","SA, V, 496mK","SA, V, 606mK","SA, V, 4230mK"
874350.00,0.000000481763,0.000000444624,0.000000430858,0.000000427214,0.000000440501,0.000000425890,0.000000423859,0.000000481763
874400.00,0.000000463687,0.000000417434,0.000000430320,0.000000437430,0.000000426442,0.000000436227,0.000000426637,0.000000463687
874450.00,0.000000471835,0.000000438524,0.000000433111,0.000000421979,0.000000435003,0.000000429712,0.000000441296,0.000000471835
874500.00,0.000000457654,0.000000437398,0.000000431927,0.000000433805,0.000000440038,0.000000433718,0.000000424904,0.000000457654
874550.00,0.000000456207,0.000000431769,0.000000433883,0.000000432995,0.000000426639,0.000000432498,0.000000427294,0.000000456207
874600.00,0.000000473115,0.000000430771,0.000000431681,0.000000428655,0.000000437425,0.000000423018,0.000000433937,0.000000473115
874650.00,0.000000461641,0.000000425942,0.000000437429,0.000000431365,0.000000432845,0.000000415151,0.000000426376,0.000000461641
874700.00,0.000000461467,0.000000431576,0.000000421715,0.000000430948,0.000000429590,0.000000427933,0.000000422395,0.000000461467
874750.00,0.000000457311,0.000000434017,0.000000426290,0.000000431902,0.000000430192,0.000000429671,0.000000422752,0.000000457311
874800.00,0.000000475276,0.000000412533,0.000000437873,0.000000428106,0.000000429667,0.000000433874,0.000000438096,0.000000475276
874850.00,0.000000468268,0.000000431827,0.000000426396,0.000000439038,0.000000425001,0.000000430530,0.000000445261,0.000000468268
874900.00,0.000000469709,0.000000415742,0.000000428390,0.000000436767,0.000000422098,0.000000418759,0.000000444420,0.000000469709
874950.00,0.000000454477,0.000000418397,0.000000443096,0.000000433416,0.000000431230,0.000000419993,0.000000430189,0.000000454477
875000.00,0.000000459538,0.000000429169,0.000000420575,0.000000437252,0.000000436970,0.000000432956,0.000000442214,0.000000459538
875050.00,0.000000453901,0.000000434116,0.000000437760,0.000000426720,0.000000434909,0.000000425159,0.000000431717,0.000000453901
875100.00,0.000000475228,0.000000423898,0.000000423530,0.000000445665,0.000000427056,0.000000439299,0.000000423389,0.000000475228
875150.00,0.000000460162,0.000000428814,0.000000439891,0.000000432903,0.000000428882,0.000000423472,0.000000437172,0.000000460162
875200.00,0.000000469554,0.000000427235,0.000000440585,0.000000432896,0.000000426748,0.000000438593,0.000000420987,0.000000469554
875250.00,0.000000470623,0.000000419293,0.000000442052,0.000000430547,0.000000443513,0.000000434286,0.000000436545,0.000000470623
875300.00,0.000000482844,0.000000429934,0.000000424710,0.000000427331,0.000000440691,0.000000424308,0.000000423904,0.000000482844
875350.00,0.000000469227,0.000000432690,0.000000438314,0.000000432388,0.000000438143,0.000000425232,0.000000422262,0.000000469227
875400.00,0.000000471155,0.000000441438,0.000000416816,0.000000424866,0.000000437936,0.000000428532,0.000000430353,0.000000471155
875450.00,0.000000463578,0.000000421870,0.000000420271,0.000000428397,0.000000435291,0.000000420955,0.000000427691,0.000000463578
875500.00,0.000000466385,0.000000430694,0.000000422805,0.000000425571,0.000000434455,0.000000425709,0.000000440892,0.000000466385
875550.00,0.000000466104,0.000000432846,0.000000436129,0.000000423014,0.000000430881,0.000000437483,0.000000437711,0.000000466104
875600.00,0.000000465936,0.000000429848,0.000000425516,0.000000437924,0.000000430066,0.000000437481,0.000000428815,0.000000465936
875650.00,0.000000475350,0.000000440022,0.000000426812,0.000000415058,0.000000425733,0.000000421780,0.000000420334,0.000000475350
875700.00,0.000000451168,0.000000427507,0.000000433904,0.000000446628,0.000000438823,0.000000442007,0.000000425755,0.000000451168
875750.00,0.000000459102,0.000000421079,0.000000431672,0.000000427628,0.000000439331,0.000000438475,0.000000411218,0.000000459102
875800.00,0.000000454415,0.000000423609,0.000000430175,0.000000431579,0.000000429910,0.000000427943,0.000000436307,0.000000454415
875850.00,0.000000475578,0.000000440869,0.000000434594,0.000000427536,0.000000441651,0.000000439470,0.000000436516,0.000000475578
875900.00,0.000000478831,0.000000431986,0.000000426083,0.000000424163,0.000000432841,0.000000428478,0.000000431104,0.000000478831
875950.00,0.000000451884,0.000000429921,0.000000442137,0.000000438377,0.000000432398,0.000000435186,0.000000418968,0.000000451884
876000.00,0.000000465113,0.000000416710,0.000000429325,0.000000425430,0.000000417860,0.000000433889,0.000000434603,0.000000465113
876050.00,0.000000472695,0.000000420377,0.000000434730,0.000000421100,0.000000437407,0.000000432852,0.000000431670,0.000000472695
876100.00,0.000000458455,0.000000444323,0.000000444025,0.000000437102,0.000000427069,0.000000429519,0.000000423734,0.000000458455
876150.00,0.000000460960,0.000000428640,0.000000439444,0.000000439715,0.000000435950,0.000000431567,0.000000437850,0.000000460960
876200.00,0.000000464625,0.000000444154,0.000000434373,0.000000423272,0.000000438630,0.000000424995,0.000000433385,0.000000464625
876250.00,0.000000465661,0.000000430422,0.000000438433,0.000000428301,0.000000424644,0.000000430486,0.000000425688,0.000000465661
876300.00,0.000000460035,0.000000437833,0.000000451512,0.000000429951,0.000000443765,0.000000436502,0.000000425747,0.000000460035
876350.00,0.000000473712,0.000000441939,0.000000428052,0.000000429420,0.000000427518,0.000000423531,0.000000428676,0.000000473712
876400.00,0.000000455898,0.000000444120,0.000000427048,0.000000434909,0.000000446929,0.000000449889,0.000000430638,0.000000455898
876450.00,0.000000455528,0.000000438161,0.000000433452,0.000000446401,0.000000437552,0.000000431915,0.000000416707,0.000000455528
876500.00,0.000000455437,0.000000451870,0.000000419833,0.000000440965,0.000000430198,0.000000426616,0.000000428913,0.000000455437
876550.00,0.000000465719,0.000000444606,0.000000434831,0.000000440889,0.000000425947,0.000000430569,0.000000429377,0.000000465719
876600.00,0.000000464422,0.000000422885,0.000000434528,0.000000430287,0.000000443705,0.000000415380,0.000000417275,0.000000464422
876650.00,0.000000469033,0.000000427787,0.000000423807,0.000000423426,0.000000446479,0.000000424587,0.000000413178,0.000000469033
876700.00,0.000000466431,0.000000440622,0.000000419561,0.000000430736,0.000000444834,0.000000432344,0.000000427760,0.000000466431
876750.00,0.000000460840,0.000000422543,0.000000424329,0.000000434432,0.000000429928,0.000000426028,0.000000446275,0.000000460840
876800.00,0.000000461817,0.000000424199,0.000000432799,0.000000430121,0.000000433503,0.000000428751,0.000000428300,0.000000461817
876850.00,0.000000448974,0.000000428907,0.000000430389,0.000000427515,0.000000431034,0.000000414942,0.000000427357,0.000000448974
876900.00,0.000000447471,0.000000431876,0.000000422694,0.000000437736,0.000000431181,0.000000423620,0.000000434233,0.000000447471
876950.00,0.000000451723,0.000000423568,0.000000418155,0.000000439572,0.000000436523,0.000000435313,0.000000439626,0.000000451723
877000.00,0.000000443156,0.000000424198,0.000000439068,0.000000431593,0.000000436606,0.000000438187,0.000000428288,0.000000443156
877050.00,0.000000469187,0.000000426972,0.000000430543,0.000000428313,0.000000426312,0.000000432436,0.000000439363,0.000000469187
877100.00,0.000000446001,0.000000439944,0.000000418873,0.000000424843,0.000000419875,0.000000428794,0.000000425773,0.000000446001
877150.00,0.000000454380,0.000000416021,0.000000437463,0.000000418659,0.000000421993,0.000000424274,0.000000415840,0.000000454380
877200.00,0.000000462530,0.000000440069,0.000000427140,0.000000427548,0.000000437509,0.000000401040,0.000000427334,0.000000462530
877250.00,0.000000446939,0.000000433824,0.000000415179,0.000000429135,0.000000420458,0.000000433694,0.000000424408,0.000000446939
877300.00,0.000000458681,0.000000427722,0.000000423904,0.000000435619,0.000000443156,0.000000416088,0.000000433070,0.000000458681
877350.00,0.000000468584,0.000000437497,0.000000417056,0.000000429928,0.000000421813,0.000000420231,0.000000429182,0.000000468584
877400.00,0.000000467824,0.000000428443,0.000000428080,0.000000436861,0.000000429813,0.000000433725,0.000000430360,0.000000467824
877450.00,0.000000463250,0.000000421777,0.000000433342,0.000000433575,0.000000436580,0.000000441922,0.000000430367,0.000000463250
877500.00,0.000000450991,0.000000413156,0.000000438176,0.000000431776,0.000000442177,0.000000441177,0.000000413972,0.000000450991
877550.00,0.000000457100,0.000000434842,0.000000440226,0.000000426260,0.000000419914,0.000000426563,0.000000421116,0.000000457100
877600.00,0.000000451912,0.000000439189,0.000000421726,0.000000435357,0.000000419037,0.000000434126,0.000000419575,0.000000451912
877650.00,0.000000467824,0.000000449688,0.000000438894,0.000000427435,0.000000448666,0.000000432007,0.000000426178,0.000000467824
877700.00,0.000000466150,0.000000432062,0.000000448700,0.000000425691,0.000000429729,0.000000431488,0.000000410200,0.000000466150
877750.00,0.000000444514,0.000000443777,0.000000437272,0.000000422357,0.000000420989,0.000000405117,0.000000442318,0.000000444514
877800.00,0.000000458497,0.000000419518,0.000000436155,0.000000437902,0.000000430338,0.000000427206,0.000000420563,0.000000458497
877850.00,0.000000463120,0.000000441741,0.000000431307,0.000000445417,0.000000431766,0.000000433001,0.000000423813,0.000000463120
877900.00,0.000000447296,0.000000433743,0.000000423981,0.000000430979,0.000000431579,0.000000434920,0.000000432010,0.000000447296
877950.00,0.000000461748,0.000000441478,0.000000422194,0.000000429132,0.000000419453,0.000000439020,0.000000446940,0.000000461748
878000.00,0.000000453805,0.000000434383,0.000000429506,0.000000430348,0.000000422149,0.000000423018,0.000000433071,0.000000453805
