deplition,CH_voltage,lockinIC_R,lockinIC_T,lockinIC_X,lockinIC_Y
-0.29428,0.1732,6.592081e-06,-123.4434,-3.632968e-06,-5.500618e-06
-0.29428,0.1731,6.820924e-06,-125.3784,-3.94915e-06,-5.561375e-06
-0.29428,0.173,6.526714e-06,-128.0451,-4.022302e-06,-5.139933e-06
-0.29428,0.1729,6.366016e-06,-127.033,-3.834033e-06,-5.081841e-06
-0.29428,0.1728,4.618462e-06,-131.0764,-3.034584e-06,-3.481473e-06
-0.29428,0.1727,5.332941e-06,-126.6857,-3.185944e-06,-4.276525e-06
-0.29428,0.1726,4.687093e-06,-124.4596,-2.652045e-06,-3.864543e-06
-0.29428,0.1725,4.21817e-06,-137.031,-3.086546e-06,-2.875093e-06
-0.29428,0.1724,2.917494e-06,-128.8041,-1.82821e-06,-2.273507e-06
-0.29428,0.1723,2.948071e-06,-134.0537,-2.049794e-06,-2.118676e-06
-0.29428,0.1722,1.671228e-06,-141.1551,-1.301642e-06,-1.048212e-06
-0.29428,0.1721,1.657426e-06,-133.4395,-1.13962e-06,-1.20344e-06
-0.29428,0.172,2.036841e-06,-135.8933,-1.462463e-06,-1.417558e-06
-0.29428,0.1719,1.798734e-06,-162.7149,-1.717485e-06,-5.344357e-07
-0.29428,0.1718,1.146543e-06,171.9831,-1.135222e-06,1.598875e-07
-0.29428,0.1717,1.566493e-06,-175.9805,-1.562526e-06,-1.097917e-07
-0.29428,0.1716,1.880457e-06,172.845,-1.865783e-06,2.34235e-07
-0.29428,0.1715,1.626435e-06,-168.0518,-1.591175e-06,-3.367066e-07
-0.29428,0.1714,1.744346e-06,-160.0252,-1.63941e-06,-5.958583e-07
-0.29428,0.1713,1.865286e-06,-179.3409,-1.865118e-06,-2.145208e-08
-0.29428,0.1712,1.903306e-06,178.5603,-1.902692e-06,4.783272e-08
-0.29428,0.1711,1.166922e-06,168.0204,-1.141486e-06,2.422314e-07
-0.29428,0.171,1.402577e-06,158.5863,-1.305637e-06,5.120448e-07
-0.29428,0.1709,9.825099e-07,132.3582,-6.619468e-07,7.260292e-07
-0.29428,0.1708,1.554328e-06,125.7117,-9.07246e-07,1.262063e-06
-0.29428,0.1707,1.101192e-06,140.239,-8.464884e-07,7.043145e-07
-0.29428,0.1706,1.208916e-06,168.6593,-1.185189e-06,2.376995e-07
-0.29428,0.1705,1.993227e-06,146.7561,-1.666987e-06,1.092709e-06
-0.29428,0.1704,1.295574e-06,139.2406,-9.813252e-07,8.458178e-07
-0.29428,0.1703,1.891136e-06,129.7574,-1.209435e-06,1.453796e-06
-0.29428,0.1702,1.491799e-06,164.9929,-1.44181e-06,3.854669e-07
-0.29428,0.1701,1.12175e-06,128.711,-7.015205e-07,8.752606e-07
-0.29428,0.17,1.122504e-06,125.0132,-6.439592e-07,9.192321e-07
-0.29428,0.1699,9.461659e-07,144.8224,-7.733367e-07,5.450863e-07
-0.29428,0.1698,9.294804e-07,80.58436,1.520253e-07,9.168349e-07
-0.29428,0.1697,1.964399e-06,130.0118,-1.263001e-06,1.504562e-06
-0.29428,0.1696,1.856831e-06,129.7775,-1.187983e-06,1.427013e-06
-0.29428,0.1695,1.134451e-06,68.95179,4.074499e-07,1.058734e-06
-0.29428,0.1694,1.457752e-06,125.2999,-8.423589e-07,1.18971e-06
-0.29428,0.1693,1.591885e-06,96.12693,-1.698844e-07,1.582777e-06
-0.29428,0.1692,2.014188e-06,98.94003,-3.129858e-07,1.989696e-06
-0.29428,0.1691,1.713601e-06,74.92217,4.456881e-07,1.654459e-06
-0.29428,0.169,1.901233e-06,99.91558,-3.273803e-07,1.872707e-06
-0.29428,0.1689,1.593366e-06,78.91117,3.064535e-07,1.563588e-06
-0.29428,0.1688,1.519795e-06,86.59077,9.033456e-08,1.516951e-06
-0.29428,0.1687,8.813962e-07,119.6476,-4.359707e-07,7.660053e-07
-0.29428,0.1686,1.710606e-06,97.57807,-2.255793e-07,1.695631e-06
-0.29428,0.1685,1.233151e-06,104.1616,-3.016646e-07,1.195572e-06
-0.29428,0.1684,1.59512e-06,126.6759,-9.526815e-07,1.279251e-06
-0.29428,0.1683,1.443715e-06,110.2438,-4.995279e-07,1.354398e-06
-0.29428,0.1682,1.073654e-06,83.54358,1.207161e-07,1.066731e-06
-0.29428,0.1681,9.99486e-07,83.56282,1.120548e-07,9.930487e-07
-0.29428,0.168,1.289935e-06,91.47374,-3.318116e-08,1.289376e-06
-0.29428,0.1679,1.241952e-06,109.4134,-4.127863e-07,1.171326e-06
-0.29428,0.1678,1.547662e-06,108.7472,-4.973933e-07,1.465519e-06
-0.29428,0.1677,2.14485e-06,104.8378,-5.492269e-07,2.073235e-06
-0.29428,0.1676,1.124566e-06,121.0332,-5.797371e-07,9.636003e-07
-0.29428,0.1675,1.295328e-06,70.07858,4.41296e-07,1.217694e-06
-0.29428,0.1674,9.596049e-07,61.90229,4.519522e-07,8.464828e-07
-0.29428,0.1673,1.807015e-06,128.2398,-1.11843e-06,1.419285e-06
-0.29428,0.1672,1.331381e-06,103.7987,-3.175176e-07,1.292841e-06
-0.29428,0.1671,1.806372e-06,90.22455,-7.06315e-09,1.806221e-06
-0.29428,0.167,1.620512e-06,93.82885,-1.081936e-07,1.616885e-06
-0.29428,0.1669,1.790313e-06,105.4492,-4.768744e-07,1.72561e-06
-0.29428,0.1668,1.302944e-06,130.49,-8.459519e-07,9.9078e-07
-0.29428,0.1667,8.960086e-07,124.382,-5.059204e-07,7.393565e-07
-0.29428,0.1666,1.705588e-06,125.4328,-9.887907e-07,1.389708e-06
-0.29428,0.1665,1.730639e-06,109.5857,-5.801394e-07,1.630475e-06
