"Tank pressure, bar","Condensed,mbar","liquid, cc","Freq. fit, Hz","Freq. max, Hz",Q
0.57367,3.52517,0.21702,874777.4172,874825,1262.18084
0.57366,3.53109,0.21738,874777.0316,874800,1263.25432
0.57364,3.55268,0.21871,874777.6503,874762.5,1253.60316
0.57363,3.56322,0.21936,874778.7693,874800,1255.86797
0.57363,3.56499,0.21947,874779.1972,874825,1255.69596
0.57359,3.60672,0.22204,874778.3862,874750,1256.83933
0.57359,3.60561,0.22197,874778.2592,874787.5,1254.99089
0.57359,3.60625,0.22201,874777.4669,874812.5,1253.34636
0.57353,3.65997,0.22532,874777.9879,874812.5,1257.85657
0.57354,3.65566,0.22505,874778.7902,874787.5,1251.93829
0.57351,3.68604,0.22692,874778.8969,874787.5,1258.61731
0.57347,3.72666,0.22942,874777.1947,874800,1255.10703
0.57347,3.72681,0.22943,874777.7422,874787.5,1252.78135
0.57347,3.72697,0.22944,874778.7764,874825,1251.62837
0.57347,3.72586,0.22937,874780.0592,874775,1252.6699
0.57343,3.76647,0.23187,874779.3285,874787.5,1249.64006
0.57343,3.76615,0.23185,874778.6175,874837.5,1237.49433
0.57339,3.80549,0.23428,874778.6636,874825,1245.31431
0.57339,3.80661,0.23434,874781.1822,874775,1248.46563
0.57335,3.84579,0.23676,874776.3814,874737.5,1249.41992
0.57335,3.84642,0.2368,874779.671,874787.5,1247.69405
0.57331,3.88753,0.23933,874780.4513,874812.5,1244.54078
0.57333,3.86641,0.23803,874778.8473,874837.5,1259.5393
0.57332,3.87729,0.2387,874779.7594,874750,1250.01929
0.57331,3.88625,0.23925,874780.68,874787.5,1243.37815
0.57331,3.8864,0.23926,874778.9685,874825,1243.94725
0.57324,3.95085,0.24322,874780.2617,874812.5,1249.08735
0.57323,3.96604,0.24416,874780.5452,874850,1248.91345
0.57323,3.96572,0.24414,874778.1004,874787.5,1248.71781
0.57319,4.00618,0.24663,874779.7133,874800,1246.89664
0.57319,4.00537,0.24658,874780.632,874850,1244.96236
0.57319,4.00521,0.24657,874780.4361,874825,1251.03515
0.57315,4.04535,0.24904,874779.1407,874837.5,1251.18999
0.57315,4.04567,0.24906,874780.2524,874812.5,1245.68831
0.57315,4.04615,0.24909,874779.1218,874787.5,1249.18976
0.57311,4.08374,0.25141,874780.2654,874812.5,1245.17036
0.57311,4.08741,0.25163,874780.775,874800,1250.47723
0.57307,4.12115,0.25371,874781.3943,874837.5,1239.48555
0.57307,4.12691,0.25406,874780.3463,874787.5,1242.23939
0.57307,4.12466,0.25392,874780.9612,874800,1250.2673
0.57303,4.1632,0.2563,874780.241,874825,1245.09271
0.57303,4.16976,0.2567,874782.046,874800,1243.08513
0.57299,4.20574,0.25892,874779.2458,874800,1246.53549
0.57299,4.2043,0.25883,874780.1663,874800,1240.88146
0.57299,4.2059,0.25893,874780.4279,874775,1248.67648
0.57295,4.24716,0.26147,874779.2411,874800,1246.20374
0.57295,4.24604,0.2614,874779.6635,874775,1241.97373
0.57291,4.28697,0.26392,874779.948,874762.5,1250.07426
0.57291,4.28761,0.26396,874779.1239,874800,1243.0414
0.57291,4.28458,0.26377,874779.3469,874800,1239.80271
0.57283,4.36772,0.26889,874780.2006,874850,1240.0664
0.57283,4.36693,0.26884,874781.7425,874775,1239.59301
0.57282,4.37316,0.26922,874778.9438,874787.5,1253.51303
0.57279,4.40659,0.27128,874778.6713,874862.5,1246.5928
0.57275,4.44736,0.27379,874778.4877,874850,1245.91793
0.57279,4.4077,0.27135,874780.5383,874812.5,1248.80838
0.57275,4.44432,0.2736,874779.3056,874787.5,1245.94957
0.57275,4.44672,0.27375,874778.1062,874850,1247.73192
0.57271,4.48446,0.27607,874779.8458,874800,1250.3042
0.57271,4.48446,0.27607,874781.0415,874787.5,1244.61278
0.57271,4.48477,0.27609,874778.4889,874837.5,1245.26426
0.57267,4.527,0.27869,874781.2484,874825,1244.63188
0.57267,4.52811,0.27876,874781.5318,874812.5,1247.02288
0.57263,4.5665,0.28113,874781.38,874787.5,1242.25655
0.57263,4.56554,0.28107,874778.1536,874800,1246.90411
0.5726,4.59431,0.28284,874778.6858,874812.5,1249.40672
0.57259,4.60662,0.2836,874779.2077,874787.5,1249.02649
0.57259,4.60535,0.28352,874779.5507,874775,1251.80805
0.57255,4.64485,0.28595,874778.6599,874762.5,1243.77944
0.57255,4.64405,0.2859,874780.9989,874800,1257.40116
0.57255,4.64756,0.28612,874778.7089,874825,1242.90411
0.57251,4.68466,0.2884,874781.7047,874812.5,1250.93859
0.57248,4.71729,0.29041,874780.9198,874787.5,1246.02976
0.57247,4.72832,0.29109,874778.0004,874762.5,1249.6599
0.57247,4.728,0.29107,874778.2918,874837.5,1248.65181
0.57243,4.76814,0.29354,874777.5397,874837.5,1256.30305
0.57243,4.7659,0.2934,874777.8636,874825,1252.11468
0.57243,4.76494,0.29334,874780.814,874812.5,1242.83091
0.57239,4.80491,0.2958,874779.1172,874800,1247.62074
0.57239,4.80204,0.29563,874779.575,874775,1247.48211
0.57239,4.80715,0.29594,874777.7131,874800,1250.59031
