mwradiation_frequency,lockinIC_R,lockinIC_T
1.30235E+11,1.155506e-06,169.8378
1.30237E+11,1.726007e-06,127.5073
1.30239E+11,5.558263e-07,136.5726
1.30241E+11,3.238208e-07,135.5445
1.30243E+11,1.519035e-06,175.6116
1.30245E+11,2.621356e-07,162.7743
1.30247E+11,3.988835e-07,-123.4816
1.30249E+11,1.050492e-06,-167.4661
1.30251E+11,1.40389e-06,-136.7964
1.30253E+11,6.522964e-07,111.0079
1.30255E+11,3.680158e-07,-156.3004
1.30257E+11,3.840532e-07,-173.5628
1.30259E+11,7.844008e-07,45.36445
1.30261E+11,1.306878e-06,144.8643
1.30263E+11,3.265701e-07,123.8173
1.30265E+11,2.96479e-07,-141.6832
1.30267E+11,2.415161e-07,161.111
1.30269E+11,8.530765e-07,122.0482
1.30271E+11,5.410183e-07,142.5573
1.30273E+11,1.666618e-06,116.9875
1.30275E+11,1.142939e-06,142.8187
1.30277E+11,7.228162e-07,177.6117
1.30279E+11,2.984683e-07,161.963
1.30281E+11,1.006979e-06,-163.9842
1.30283E+11,6.017424e-07,24.1874
1.30285E+11,9.092688e-07,125.237
